id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
2201,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
2202,35000-60000,buen clima,ciudad,Educación,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,No
2203,+ 100000,buen clima,playa,Otros,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Manual,No
2204,20000 - 35000,buen clima,ciudad,Comercio,Aragón,"Si, grande",gasolina,viajes largos,Automatico,Si
2205,12000 - 20000,buen clima,playa,Salud,Asturias,"Si, grande",hibrido,uso particular ocasional,Automatico,No
2206,35000-60000,buen clima,montaña,Tecnología,Andalucía,No,diesel,uso particular habitual,Manual,No
2207,20000 - 35000,off-road,montaña,Industria Construccion y Manufactura,Andalucía,No,electrico,uso particular habitual,Manual,Si
2208,12000 - 20000,buen clima,montaña,Servicios Financieros,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2209,20000 - 35000,nieve,montaña,Tecnología,Aragón,"Si, pequeña",electrico,uso particular habitual,Manual,No
2210,12000 - 20000,off-road,playa,Comercio,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2211,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,La Rioja,No,hibrido,uso particular ocasional,Manual,Si
2212,35000-60000,buen clima,ciudad,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2213,- 12000,nieve,playa,Servicios Financieros,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2214,35000-60000,buen clima,ciudad,Otros,Cantabria,No,electrico,uso particular habitual,Automatico,Si
2215,20000 - 35000,buen clima,ciudad,Salud,Aragón,No,diesel,uso particular habitual,Automatico,Si
2216,60000 - 100000,buen clima,montaña,Tecnología,Castilla-La Mancha,"Si, grande",electrico,viajes largos,Automatico,Si
2217,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,La Rioja,"Si, grande",diesel,viajes largos,Manual,No
2218,35000-60000,buen clima,montaña,Comercio,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2219,- 12000,buen clima,montaña,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Manual,Si
2220,- 12000,buen clima,playa,Transporte y Logística,Extremadura,"Si, pequeña",diesel,viajes largos,Manual,Si
2221,35000-60000,buen clima,montaña,Salud,Asturias,"Si, grande",gasolina,uso particular ocasional,Automatico,No
2222,35000-60000,buen clima,playa,Energía,Navarra,No,gasolina,uso particular ocasional,Manual,Si
2223,20000 - 35000,nieve,ciudad,Salud,Aragón,No,diesel,uso particular habitual,Automatico,Si
2224,60000 - 100000,buen clima,playa,Entretenimiento y Medios,Canarias,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
2225,60000 - 100000,off-road,playa,Salud,Cataluña,No,diesel,uso particular ocasional,Manual,No
2226,20000 - 35000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2227,35000-60000,nieve,playa,Comercio,Asturias,No,diesel,uso particular habitual,Automatico,No
2228,35000-60000,buen clima,montaña,Tecnología,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,No
2229,+ 100000,nieve,ciudad,Salud,Andalucía,"Si, grande",electrico,uso particular ocasional,Manual,Si
2230,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2231,+ 100000,buen clima,montaña,Tecnología,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2232,60000 - 100000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",electrico,uso particular habitual,Automatico,Si
2233,12000 - 20000,buen clima,ciudad,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2234,35000-60000,buen clima,ciudad,Comercio,Cantabria,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
2235,+ 100000,nieve,montaña,Energía,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2236,35000-60000,buen clima,montaña,Educación,Madrid,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2237,20000 - 35000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2238,20000 - 35000,buen clima,montaña,Salud,Andalucía,"Si, grande",diesel,viajes largos,Automatico,No
2239,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
2240,20000 - 35000,buen clima,playa,Salud,Canarias,"Si, grande",diesel,uso particular habitual,Automatico,Si
2241,+ 100000,buen clima,ciudad,Educación,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2242,60000 - 100000,off-road,montaña,Tecnología,Canarias,"Si, pequeña",diesel,uso particular habitual,Manual,No
2243,12000 - 20000,buen clima,playa,Salud,Andalucía,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2244,12000 - 20000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2245,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, grande",diesel,uso particular habitual,Manual,Si
2246,60000 - 100000,buen clima,playa,Salud,Asturias,"Si, pequeña",electrico,viajes largos,Automatico,Si
2247,- 12000,buen clima,ciudad,Industria Construccion y Manufactura,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,No
2248,35000-60000,buen clima,montaña,Salud,Madrid,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2249,+ 100000,buen clima,montaña,Comercio,Galicia,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2250,60000 - 100000,buen clima,montaña,Salud,Asturias,No,diesel,uso particular habitual,Manual,Si
2251,12000 - 20000,buen clima,montaña,Tecnología,Aragón,"Si, grande",electrico,uso particular habitual,Manual,Si
2252,35000-60000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
2253,20000 - 35000,buen clima,playa,Educación,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
2254,20000 - 35000,buen clima,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
2255,12000 - 20000,nieve,ciudad,Salud,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2256,60000 - 100000,buen clima,playa,Comercio,Andalucía,"Si, grande",hibrido,uso particular habitual,Manual,No
2257,- 12000,off-road,ciudad,Energía,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,No
2258,35000-60000,buen clima,montaña,Transporte y Logística,Asturias,No,diesel,uso particular habitual,Manual,No
2259,35000-60000,buen clima,ciudad,Transporte y Logística,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2260,35000-60000,nieve,montaña,Tecnología,Murcia,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
2261,20000 - 35000,buen clima,playa,Educación,Canarias,"Si, grande",diesel,uso particular habitual,Automatico,Si
2262,60000 - 100000,nieve,ciudad,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2263,35000-60000,buen clima,playa,Educación,Murcia,"Si, grande",electrico,uso particular ocasional,Manual,No
2264,12000 - 20000,buen clima,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular habitual,Automatico,No
2265,35000-60000,nieve,montaña,Servicios Financieros,Andalucía,"Si, grande",diesel,viajes largos,Automatico,No
2266,- 12000,buen clima,playa,Energía,Navarra,No,gasolina,uso particular ocasional,Automatico,Si
2267,60000 - 100000,nieve,ciudad,Otros,Baleares,No,electrico,uso particular habitual,Manual,Si
2268,- 12000,nieve,ciudad,Industria Construccion y Manufactura,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,No
2269,- 12000,buen clima,montaña,Energía,Aragón,"Si, grande",diesel,uso particular ocasional,Automatico,No
2270,35000-60000,buen clima,montaña,Energía,Castilla-La Mancha,"Si, grande",electrico,uso particular ocasional,Automatico,Si
2271,12000 - 20000,buen clima,ciudad,Servicios Financieros,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
2272,20000 - 35000,nieve,playa,Turismo y Ocio,Andalucía,No,electrico,uso particular ocasional,Manual,Si
2273,12000 - 20000,buen clima,montaña,Salud,Cantabria,"Si, grande",electrico,uso particular habitual,Manual,Si
2274,20000 - 35000,buen clima,playa,Energía,Aragón,"Si, grande",diesel,uso particular ocasional,Automatico,No
2275,- 12000,buen clima,montaña,Turismo y Ocio,Cantabria,"Si, grande",electrico,uso particular habitual,Automatico,No
2276,35000-60000,buen clima,ciudad,Salud,Cantabria,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
2277,12000 - 20000,buen clima,ciudad,Tecnología,Cataluña,No,diesel,viajes largos,Manual,Si
2278,12000 - 20000,nieve,ciudad,Tecnología,Aragón,"Si, grande",electrico,uso particular ocasional,Automatico,Si
2279,- 12000,buen clima,playa,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2280,35000-60000,buen clima,playa,Turismo y Ocio,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,Si
2281,35000-60000,off-road,montaña,Energía,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
2282,12000 - 20000,buen clima,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2283,20000 - 35000,buen clima,ciudad,Comercio,Asturias,No,diesel,uso particular ocasional,Manual,Si
2284,20000 - 35000,buen clima,ciudad,Energía,Castilla-La Mancha,"Si, grande",gasolina,viajes largos,Manual,Si
2285,20000 - 35000,buen clima,ciudad,Servicios Financieros,Canarias,"Si, grande",diesel,uso particular habitual,Manual,Si
2286,20000 - 35000,off-road,montaña,Servicios Financieros,Galicia,"Si, grande",gasolina,viajes largos,Automatico,Si
2287,20000 - 35000,buen clima,ciudad,Energía,Cataluña,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
2288,20000 - 35000,buen clima,playa,Energía,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,Si
2289,20000 - 35000,buen clima,montaña,Salud,Cataluña,"Si, grande",diesel,viajes largos,Manual,No
2290,35000-60000,buen clima,ciudad,Industria Construccion y Manufactura,Baleares,"Si, grande",diesel,uso particular ocasional,Manual,Si
2291,20000 - 35000,buen clima,ciudad,Tecnología,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2292,20000 - 35000,buen clima,playa,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2293,12000 - 20000,buen clima,playa,Comercio,Galicia,"Si, grande",electrico,uso particular habitual,Manual,No
2294,35000-60000,buen clima,montaña,Servicios Financieros,Extremadura,No,gasolina,uso particular habitual,Manual,Si
2295,12000 - 20000,nieve,montaña,Comercio,Canarias,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
2296,35000-60000,nieve,ciudad,Servicios Financieros,Murcia,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2297,20000 - 35000,nieve,montaña,Industria Construccion y Manufactura,Baleares,"Si, grande",diesel,uso particular habitual,Manual,No
2298,12000 - 20000,buen clima,ciudad,Energía,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2299,20000 - 35000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2300,- 12000,buen clima,ciudad,Industria Construccion y Manufactura,Murcia,"Si, grande",electrico,uso particular ocasional,Manual,Si
2301,35000-60000,nieve,montaña,Salud,Asturias,"Si, pequeña",diesel,viajes largos,Automatico,Si
2302,12000 - 20000,buen clima,montaña,Tecnología,Cantabria,No,diesel,uso particular ocasional,Manual,Si
2303,60000 - 100000,off-road,ciudad,Turismo y Ocio,Baleares,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
2304,12000 - 20000,buen clima,ciudad,Entretenimiento y Medios,Asturias,No,diesel,uso particular ocasional,Automatico,No
2305,12000 - 20000,buen clima,ciudad,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,Si
2306,20000 - 35000,buen clima,ciudad,Servicios Financieros,Asturias,"Si, grande",gasolina,uso particular habitual,Manual,No
2307,12000 - 20000,buen clima,ciudad,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2308,- 12000,buen clima,montaña,Entretenimiento y Medios,Cantabria,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2309,35000-60000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2310,60000 - 100000,buen clima,playa,Salud,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2311,35000-60000,buen clima,montaña,Entretenimiento y Medios,Aragón,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
2312,35000-60000,buen clima,ciudad,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2313,35000-60000,buen clima,ciudad,Salud,Baleares,"Si, pequeña",diesel,viajes largos,Manual,Si
2314,- 12000,buen clima,ciudad,Otros,Aragón,"Si, pequeña",hibrido,uso particular habitual,Automatico,Si
2315,20000 - 35000,buen clima,montaña,Comercio,Castilla y León,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2316,35000-60000,buen clima,montaña,Comercio,Cantabria,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
2317,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Murcia,"Si, pequeña",gasolina,viajes largos,Manual,No
2318,60000 - 100000,nieve,montaña,Turismo y Ocio,Murcia,"Si, grande",diesel,uso particular habitual,Manual,Si
2319,20000 - 35000,buen clima,ciudad,Energía,Galicia,"Si, grande",diesel,uso particular ocasional,Manual,Si
2320,35000-60000,buen clima,ciudad,Turismo y Ocio,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2321,20000 - 35000,buen clima,montaña,Tecnología,Castilla y León,"Si, grande",gasolina,uso particular habitual,Manual,Si
2322,35000-60000,buen clima,montaña,Tecnología,Canarias,"Si, grande",hibrido,uso particular ocasional,Automatico,Si
2323,60000 - 100000,off-road,montaña,Comercio,Aragón,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2324,20000 - 35000,buen clima,playa,Tecnología,Aragón,No,diesel,uso particular ocasional,Manual,No
2325,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Canarias,"Si, pequeña",diesel,viajes largos,Automatico,Si
2326,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Castilla y León,"Si, grande",diesel,uso particular ocasional,Manual,Si
2327,12000 - 20000,buen clima,montaña,Otros,Asturias,No,diesel,uso particular habitual,Manual,Si
2328,35000-60000,nieve,ciudad,Energía,Murcia,No,electrico,uso particular habitual,Manual,Si
2329,+ 100000,buen clima,montaña,Turismo y Ocio,Aragón,"Si, pequeña",electrico,uso particular habitual,Manual,No
2330,20000 - 35000,buen clima,montaña,Energía,Andalucía,No,gasolina,uso particular ocasional,Automatico,Si
2331,35000-60000,nieve,ciudad,Educación,Galicia,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2332,35000-60000,nieve,ciudad,Energía,Andalucía,No,diesel,uso particular habitual,Manual,No
2333,60000 - 100000,buen clima,montaña,Energía,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2334,20000 - 35000,off-road,montaña,Tecnología,Andalucía,"Si, grande",electrico,uso particular ocasional,Manual,Si
2335,60000 - 100000,buen clima,montaña,Energía,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
2336,12000 - 20000,nieve,montaña,Salud,Galicia,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2337,20000 - 35000,buen clima,montaña,Salud,Baleares,"Si, grande",diesel,uso particular ocasional,Automatico,No
2338,60000 - 100000,buen clima,montaña,Tecnología,Aragón,No,electrico,uso particular ocasional,Manual,No
2339,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
2340,20000 - 35000,nieve,montaña,Servicios Financieros,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2341,- 12000,buen clima,montaña,Tecnología,Aragón,"Si, grande",diesel,viajes largos,Manual,Si
2342,35000-60000,buen clima,playa,Comercio,Castilla y León,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2343,12000 - 20000,buen clima,montaña,Salud,Extremadura,"Si, grande",diesel,viajes largos,Manual,No
2344,20000 - 35000,off-road,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2345,35000-60000,buen clima,montaña,Turismo y Ocio,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,No
2346,12000 - 20000,buen clima,ciudad,Salud,Aragón,"Si, pequeña",diesel,uso particular habitual,Automatico,No
2347,20000 - 35000,buen clima,montaña,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2348,35000-60000,nieve,montaña,Tecnología,Aragón,No,diesel,uso particular ocasional,Automatico,No
2349,12000 - 20000,nieve,montaña,Educación,Madrid,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2350,+ 100000,buen clima,playa,Transporte y Logística,Madrid,No,diesel,uso particular ocasional,Manual,No
2351,20000 - 35000,buen clima,playa,Servicios Financieros,Asturias,"Si, grande",gasolina,uso particular habitual,Manual,Si
2352,20000 - 35000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2353,60000 - 100000,nieve,montaña,Salud,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
2354,20000 - 35000,off-road,playa,Educación,Castilla-La Mancha,No,hibrido,uso particular ocasional,Automatico,No
2355,35000-60000,buen clima,montaña,Turismo y Ocio,Madrid,"Si, grande",diesel,uso particular ocasional,Automatico,No
2356,35000-60000,buen clima,playa,Industria Construccion y Manufactura,Cataluña,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2357,35000-60000,nieve,montaña,Servicios Financieros,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,Si
2358,60000 - 100000,nieve,playa,Salud,Castilla-La Mancha,"Si, grande",electrico,uso particular ocasional,Manual,Si
2359,20000 - 35000,buen clima,playa,Salud,Andalucía,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
2360,12000 - 20000,buen clima,montaña,Otros,Galicia,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2361,12000 - 20000,nieve,playa,Educación,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,No
2362,20000 - 35000,buen clima,montaña,Salud,Navarra,"Si, pequeña",hibrido,uso particular habitual,Manual,No
2363,60000 - 100000,nieve,montaña,Energía,Andalucía,No,gasolina,uso particular habitual,Manual,Si
2364,20000 - 35000,nieve,montaña,Energía,Canarias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2365,- 12000,buen clima,montaña,Energía,Navarra,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
2366,12000 - 20000,buen clima,playa,Otros,Extremadura,No,electrico,uso particular ocasional,Manual,No
2367,12000 - 20000,buen clima,playa,Tecnología,Cataluña,"Si, grande",diesel,uso particular habitual,Automatico,No
2368,20000 - 35000,nieve,montaña,Energía,Murcia,"Si, pequeña",electrico,uso particular ocasional,Manual,No
2369,- 12000,buen clima,playa,Energía,Murcia,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
2370,60000 - 100000,buen clima,montaña,Servicios Financieros,Aragón,No,diesel,uso particular habitual,Manual,Si
2371,20000 - 35000,buen clima,playa,Servicios Financieros,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,Si
2372,20000 - 35000,buen clima,ciudad,Energía,Murcia,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
2373,60000 - 100000,nieve,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2374,35000-60000,buen clima,playa,Tecnología,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2375,12000 - 20000,off-road,ciudad,Entretenimiento y Medios,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
2376,60000 - 100000,off-road,playa,Tecnología,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2377,60000 - 100000,buen clima,montaña,Educación,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,No
2378,35000-60000,off-road,montaña,Transporte y Logística,Aragón,"Si, pequeña",hibrido,viajes largos,Automatico,Si
2379,60000 - 100000,buen clima,playa,Comercio,Madrid,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
2380,20000 - 35000,buen clima,playa,Transporte y Logística,Baleares,"Si, pequeña",diesel,viajes largos,Automatico,No
2381,35000-60000,buen clima,montaña,Comercio,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2382,35000-60000,nieve,ciudad,Energía,País Vasco,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2383,12000 - 20000,buen clima,ciudad,Industria Construccion y Manufactura,Murcia,"Si, pequeña",hibrido,viajes largos,Manual,Si
2384,60000 - 100000,buen clima,montaña,Salud,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2385,20000 - 35000,buen clima,montaña,Educación,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2386,+ 100000,buen clima,montaña,Energía,Castilla y León,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2387,12000 - 20000,off-road,ciudad,Tecnología,Baleares,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
2388,12000 - 20000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, pequeña",hibrido,uso particular habitual,Manual,No
2389,12000 - 20000,buen clima,montaña,Energía,Navarra,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2390,20000 - 35000,buen clima,playa,Tecnología,Canarias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2391,20000 - 35000,nieve,playa,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2392,20000 - 35000,buen clima,playa,Tecnología,Asturias,"Si, grande",diesel,uso particular ocasional,Automatico,Si
2393,12000 - 20000,buen clima,playa,Servicios Financieros,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2394,- 12000,nieve,montaña,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2395,60000 - 100000,buen clima,playa,Energía,Canarias,No,hibrido,uso particular ocasional,Manual,No
2396,35000-60000,buen clima,playa,Tecnología,Baleares,No,hibrido,uso particular ocasional,Manual,Si
2397,20000 - 35000,off-road,montaña,Turismo y Ocio,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,Si
2398,60000 - 100000,nieve,playa,Comercio,Andalucía,No,gasolina,uso particular ocasional,Manual,Si
2399,35000-60000,nieve,montaña,Comercio,Cantabria,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2400,20000 - 35000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No
2401,20000 - 35000,nieve,playa,Salud,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,No
2402,- 12000,buen clima,montaña,Servicios Financieros,Baleares,"Si, grande",diesel,uso particular habitual,Automatico,Si
2403,60000 - 100000,nieve,ciudad,Educación,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2404,60000 - 100000,buen clima,playa,Educación,Canarias,No,diesel,viajes largos,Automatico,Si
2405,60000 - 100000,buen clima,playa,Tecnología,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,Si
2406,35000-60000,off-road,montaña,Servicios Financieros,Canarias,"Si, pequeña",hibrido,viajes largos,Manual,Si
2407,20000 - 35000,buen clima,montaña,Tecnología,Castilla-La Mancha,No,diesel,viajes largos,Manual,Si
2408,- 12000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
2409,20000 - 35000,buen clima,ciudad,Entretenimiento y Medios,Murcia,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
2410,- 12000,buen clima,playa,Tecnología,Castilla y León,"Si, pequeña",gasolina,viajes largos,Automatico,No
2411,20000 - 35000,buen clima,montaña,Transporte y Logística,Canarias,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
2412,20000 - 35000,buen clima,ciudad,Comercio,Aragón,"Si, grande",hibrido,uso particular habitual,Manual,No
2413,35000-60000,nieve,playa,Transporte y Logística,Galicia,No,gasolina,uso particular ocasional,Automatico,Si
2414,60000 - 100000,off-road,ciudad,Turismo y Ocio,Baleares,"Si, grande",gasolina,viajes largos,Manual,Si
2415,35000-60000,buen clima,montaña,Turismo y Ocio,Navarra,"Si, pequeña",gasolina,viajes largos,Manual,Si
2416,35000-60000,nieve,montaña,Salud,Madrid,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2417,12000 - 20000,nieve,montaña,Salud,Canarias,No,hibrido,viajes largos,Manual,No
2418,12000 - 20000,buen clima,playa,Educación,Baleares,"Si, grande",diesel,uso particular habitual,Manual,Si
2419,35000-60000,buen clima,montaña,Energía,Baleares,"Si, pequeña",hibrido,uso particular habitual,Manual,No
2420,12000 - 20000,buen clima,montaña,Transporte y Logística,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2421,12000 - 20000,buen clima,ciudad,Salud,Castilla-La Mancha,No,gasolina,uso particular habitual,Manual,Si
2422,35000-60000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2423,12000 - 20000,nieve,ciudad,Energía,Baleares,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
2424,35000-60000,nieve,playa,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No
2425,20000 - 35000,buen clima,playa,Comercio,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,Si
2426,- 12000,buen clima,playa,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2427,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Aragón,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2428,20000 - 35000,off-road,montaña,Salud,Castilla y León,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2429,60000 - 100000,off-road,montaña,Energía,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2430,35000-60000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2431,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Andalucía,No,electrico,viajes largos,Manual,Si
2432,12000 - 20000,buen clima,playa,Tecnología,Castilla y León,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2433,- 12000,off-road,playa,Tecnología,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2434,12000 - 20000,nieve,ciudad,Transporte y Logística,Andalucía,No,diesel,uso particular habitual,Manual,Si
2435,35000-60000,buen clima,ciudad,Comercio,Andalucía,"Si, grande",electrico,viajes largos,Manual,No
2436,35000-60000,buen clima,montaña,Salud,Aragón,No,electrico,viajes largos,Manual,No
2437,20000 - 35000,buen clima,ciudad,Servicios Financieros,Aragón,"Si, pequeña",gasolina,viajes largos,Manual,Si
2438,20000 - 35000,buen clima,montaña,Comercio,Baleares,"Si, grande",electrico,uso particular ocasional,Manual,Si
2439,35000-60000,buen clima,playa,Comercio,Extremadura,"Si, grande",gasolina,uso particular ocasional,Manual,No
2440,- 12000,off-road,montaña,Industria Construccion y Manufactura,Canarias,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2441,35000-60000,off-road,montaña,Salud,Andalucía,No,gasolina,uso particular habitual,Automatico,Si
